Date,Service_Type,Region,Cost_USD,Cost_Category,Department,Usage_Hours,Resource_Tags
2024-02-10,ElastiCache (Caching),us-west-2,60.04,Spot,Fleet Management,9.4,fleet-management-elasticache
2024-02-27,EKS (Kubernetes),us-west-2,298.95,On-Demand,Platform / DevOps,21.9,platform-/-devops-eks
2024-11-23,CloudWatch (Monitoring),us-west-2,61.23,On-Demand,Warehouse Ops,1.3,warehouse-ops-cloudwatch
2024-09-17,Lambda (Serverless),us-east-1,45.43,On-Demand,Warehouse Ops,13.1,warehouse-ops-lambda
2024-01-08,EKS (Kubernetes),ap-south-1,467.82,Reserved,Fleet Management,13.3,fleet-management-eks
2024-08-27,Lambda (Serverless),eu-west-1,66.93,Spot,Warehouse Ops,10.5,warehouse-ops-lambda
2024-07-06,CloudWatch (Monitoring),ap-southeast-1,40.23,Reserved,Logistics,8.2,logistics-cloudwatch
2024-08-13,EKS (Kubernetes),us-east-1,369.61,Savings Plan,Logistics,11.3,logistics-eks
2024-11-18,CloudFront (CDN),us-west-2,90.43,On-Demand,Logistics,22.1,logistics-cloudfront
2024-03-03,Route 53 (DNS),ap-southeast-1,5.12,On-Demand,Fleet Management,12.6,fleet-management-route 53
2024-10-30,Route 53 (DNS),us-west-2,3.4,Savings Plan,Data Engineering,17.5,data-engineering-route 53
2024-02-09,ElastiCache (Caching),eu-west-1,61.48,Savings Plan,Logistics,2.9,logistics-elasticache
2024-07-25,EC2 (Compute),ap-southeast-1,279.83,On-Demand,Warehouse Ops,8.5,warehouse-ops-ec2
2024-01-06,S3 (Storage),ap-southeast-1,92.85,Savings Plan,Procurement,14.9,procurement-s3
2024-07-22,CloudWatch (Monitoring),eu-west-1,20.86,Spot,Warehouse Ops,20.1,warehouse-ops-cloudwatch
2024-03-12,CloudFront (CDN),us-west-2,60.68,Spot,Logistics,22.4,logistics-cloudfront
2024-07-23,EC2 (Compute),us-west-2,345.17,Reserved,Platform / DevOps,9.6,platform-/-devops-ec2
2024-01-26,Lambda (Serverless),ap-south-1,13.31,Savings Plan,Logistics,14.7,logistics-lambda
2024-11-17,Redshift (Data Warehouse),eu-west-1,232.22,Reserved,Fleet Management,21.2,fleet-management-redshift
2024-12-09,SQS (Queue),ap-south-1,11.4,Savings Plan,Procurement,22.0,procurement-sqs
2024-05-27,CloudFront (CDN),ap-southeast-1,58.28,Savings Plan,Warehouse Ops,13.0,warehouse-ops-cloudfront
2024-07-19,EC2 (Compute),us-west-2,214.21,Spot,Data Engineering,22.7,data-engineering-ec2
2024-05-19,DynamoDB (NoSQL),us-east-1,100.06,Savings Plan,Platform / DevOps,5.5,platform-/-devops-dynamodb
2024-01-02,API Gateway,eu-west-1,22.04,Reserved,Logistics,2.8,logistics-api gateway
2024-07-13,CloudWatch (Monitoring),ap-south-1,11.01,Savings Plan,Data Engineering,18.0,data-engineering-cloudwatch
2024-02-25,CloudFront (CDN),ap-south-1,48.13,On-Demand,Warehouse Ops,10.4,warehouse-ops-cloudfront
2024-03-19,S3 (Storage),us-west-2,41.72,On-Demand,Fleet Management,19.1,fleet-management-s3
2024-04-14,SageMaker (ML),us-west-2,153.53,Reserved,Procurement,3.1,procurement-sagemaker
2024-08-03,API Gateway,us-west-2,43.09,Savings Plan,Warehouse Ops,17.0,warehouse-ops-api gateway
2024-10-05,SQS (Queue),us-west-2,7.6,Spot,Procurement,13.1,procurement-sqs
2024-05-10,DynamoDB (NoSQL),us-east-1,48.51,Savings Plan,Platform / DevOps,9.7,platform-/-devops-dynamodb
2024-02-29,RDS (Database),us-west-2,182.05,On-Demand,Procurement,13.0,procurement-rds
2024-04-28,ElastiCache (Caching),ap-south-1,149.98,Spot,Platform / DevOps,19.3,platform-/-devops-elasticache
2024-03-16,CloudWatch (Monitoring),us-west-2,34.51,Spot,Fleet Management,20.5,fleet-management-cloudwatch
2024-04-23,Lambda (Serverless),us-east-1,39.81,Reserved,Procurement,11.0,procurement-lambda
2024-09-29,SageMaker (ML),us-west-2,340.41,Spot,Platform / DevOps,16.8,platform-/-devops-sagemaker
2024-08-17,CloudWatch (Monitoring),ap-south-1,26.24,On-Demand,Platform / DevOps,5.1,platform-/-devops-cloudwatch
2024-01-24,Redshift (Data Warehouse),us-east-1,261.29,On-Demand,Procurement,20.9,procurement-redshift
2024-03-29,ElastiCache (Caching),us-west-2,56.26,Savings Plan,Logistics,21.9,logistics-elasticache
2024-12-30,CloudFront (CDN),ap-southeast-1,58.03,Reserved,Logistics,12.5,logistics-cloudfront
2024-05-29,Lambda (Serverless),eu-west-1,35.49,On-Demand,Procurement,3.1,procurement-lambda
2024-01-08,CloudWatch (Monitoring),us-east-1,15.39,Savings Plan,Warehouse Ops,12.9,warehouse-ops-cloudwatch
2024-10-18,EC2 (Compute),us-east-1,190.52,Spot,Warehouse Ops,6.8,warehouse-ops-ec2
2024-08-21,Lambda (Serverless),eu-west-1,29.41,Savings Plan,Logistics,9.6,logistics-lambda
2024-02-24,SageMaker (ML),ap-southeast-1,164.14,Savings Plan,Data Engineering,11.5,data-engineering-sagemaker
2024-10-15,SNS (Notifications),ap-south-1,15.07,Reserved,Fleet Management,22.7,fleet-management-sns
2024-12-03,DynamoDB (NoSQL),ap-southeast-1,106.43,On-Demand,Logistics,2.4,logistics-dynamodb
2024-03-01,Route 53 (DNS),us-west-2,8.82,Savings Plan,Fleet Management,12.3,fleet-management-route 53
2024-04-23,CloudFront (CDN),ap-southeast-1,72.26,Savings Plan,Platform / DevOps,1.4,platform-/-devops-cloudfront
2024-06-16,SQS (Queue),eu-west-1,22.1,On-Demand,Platform / DevOps,19.1,platform-/-devops-sqs
2024-10-20,DynamoDB (NoSQL),ap-southeast-1,171.01,Savings Plan,Platform / DevOps,23.6,platform-/-devops-dynamodb
2024-10-03,ElastiCache (Caching),ap-southeast-1,98.97,On-Demand,Platform / DevOps,2.4,platform-/-devops-elasticache
2024-05-30,RDS (Database),ap-south-1,62.0,On-Demand,Fleet Management,6.8,fleet-management-rds
2024-05-12,Lambda (Serverless),us-east-1,55.09,Spot,Warehouse Ops,23.6,warehouse-ops-lambda
2024-01-28,Redshift (Data Warehouse),us-east-1,154.4,Reserved,Data Engineering,7.4,data-engineering-redshift
2024-07-19,RDS (Database),ap-southeast-1,200.36,Savings Plan,Warehouse Ops,16.4,warehouse-ops-rds
2024-04-12,Lambda (Serverless),us-east-1,41.33,Savings Plan,Data Engineering,4.3,data-engineering-lambda
2024-05-15,EC2 (Compute),eu-west-1,403.29,Reserved,Data Engineering,18.0,data-engineering-ec2
2024-02-26,CloudFront (CDN),ap-southeast-1,22.67,Savings Plan,Data Engineering,16.2,data-engineering-cloudfront
2024-05-29,EC2 (Compute),ap-south-1,447.86,Spot,Warehouse Ops,22.2,warehouse-ops-ec2
2024-01-14,EC2 (Compute),ap-south-1,173.39,On-Demand,Procurement,18.8,procurement-ec2
2024-10-13,S3 (Storage),us-east-1,78.85,On-Demand,Fleet Management,3.9,fleet-management-s3
2024-09-08,S3 (Storage),us-west-2,85.75,Spot,Warehouse Ops,10.6,warehouse-ops-s3
2024-04-27,Route 53 (DNS),eu-west-1,9.03,Spot,Fleet Management,23.9,fleet-management-route 53
2024-12-28,CloudFront (CDN),ap-southeast-1,47.61,Reserved,Procurement,7.4,procurement-cloudfront
2024-12-17,SQS (Queue),ap-south-1,36.44,On-Demand,Logistics,10.1,logistics-sqs
2024-12-11,EKS (Kubernetes),ap-southeast-1,596.37,Spot,Data Engineering,2.5,data-engineering-eks
2024-10-14,Lambda (Serverless),ap-south-1,41.38,Spot,Logistics,6.7,logistics-lambda
2024-09-16,Route 53 (DNS),ap-southeast-1,2.42,Spot,Fleet Management,13.3,fleet-management-route 53
2024-04-11,ElastiCache (Caching),us-east-1,87.49,Reserved,Platform / DevOps,15.4,platform-/-devops-elasticache
2024-11-29,SNS (Notifications),eu-west-1,14.63,On-Demand,Platform / DevOps,16.4,platform-/-devops-sns
2024-04-08,EC2 (Compute),eu-west-1,243.01,Spot,Warehouse Ops,22.4,warehouse-ops-ec2
2024-12-04,EKS (Kubernetes),us-west-2,245.13,Reserved,Data Engineering,22.0,data-engineering-eks
2024-04-26,SQS (Queue),ap-south-1,11.44,Reserved,Platform / DevOps,14.7,platform-/-devops-sqs
2024-01-06,CloudWatch (Monitoring),ap-south-1,42.3,Reserved,Warehouse Ops,8.0,warehouse-ops-cloudwatch
2024-10-20,EKS (Kubernetes),ap-south-1,278.45,On-Demand,Procurement,10.4,procurement-eks
2024-12-29,EC2 (Compute),ap-south-1,441.74,On-Demand,Platform / DevOps,4.9,platform-/-devops-ec2
2024-06-17,CloudFront (CDN),us-west-2,44.47,Savings Plan,Fleet Management,20.0,fleet-management-cloudfront
2024-12-14,S3 (Storage),us-west-2,77.06,Reserved,Data Engineering,8.9,data-engineering-s3
2024-07-22,Redshift (Data Warehouse),ap-southeast-1,131.96,Savings Plan,Platform / DevOps,11.9,platform-/-devops-redshift
2024-08-29,SNS (Notifications),eu-west-1,17.5,Savings Plan,Data Engineering,11.3,data-engineering-sns
2024-10-27,SageMaker (ML),us-east-1,117.81,Savings Plan,Fleet Management,23.8,fleet-management-sagemaker
2024-06-08,SageMaker (ML),us-east-1,123.09,Savings Plan,Warehouse Ops,2.7,warehouse-ops-sagemaker
2024-12-14,CloudWatch (Monitoring),ap-southeast-1,24.3,Spot,Warehouse Ops,3.6,warehouse-ops-cloudwatch
2024-10-10,S3 (Storage),us-east-1,98.98,Spot,Logistics,15.4,logistics-s3
2024-10-19,Redshift (Data Warehouse),eu-west-1,173.64,On-Demand,Data Engineering,18.7,data-engineering-redshift
2024-04-20,ElastiCache (Caching),ap-southeast-1,142.9,Spot,Platform / DevOps,16.3,platform-/-devops-elasticache
2024-07-13,API Gateway,ap-south-1,45.6,Spot,Fleet Management,23.4,fleet-management-api gateway
2024-07-05,EC2 (Compute),ap-south-1,362.2,Savings Plan,Procurement,11.4,procurement-ec2
2024-12-24,EKS (Kubernetes),us-east-1,302.08,On-Demand,Data Engineering,10.7,data-engineering-eks
2024-12-22,EC2 (Compute),ap-south-1,299.16,Savings Plan,Platform / DevOps,21.3,platform-/-devops-ec2
2024-12-21,ElastiCache (Caching),ap-south-1,494.11,On-Demand,Fleet Management,16.2,fleet-management-elasticache
2024-02-07,RDS (Database),us-west-2,170.15,Spot,Warehouse Ops,12.5,warehouse-ops-rds
2024-01-25,CloudWatch (Monitoring),ap-southeast-1,22.14,On-Demand,Platform / DevOps,4.0,platform-/-devops-cloudwatch
2024-09-05,CloudFront (CDN),ap-southeast-1,36.33,On-Demand,Data Engineering,14.9,data-engineering-cloudfront
2024-12-16,API Gateway,us-west-2,54.83,Savings Plan,Warehouse Ops,8.5,warehouse-ops-api gateway
2024-05-18,SNS (Notifications),us-east-1,7.55,Savings Plan,Platform / DevOps,1.1,platform-/-devops-sns
2024-01-15,SageMaker (ML),us-west-2,323.53,On-Demand,Fleet Management,15.3,fleet-management-sagemaker
2024-01-02,DynamoDB (NoSQL),us-west-2,74.77,On-Demand,Platform / DevOps,15.0,platform-/-devops-dynamodb
2024-01-31,SNS (Notifications),ap-south-1,2.15,Spot,Data Engineering,4.1,data-engineering-sns
2024-08-21,RDS (Database),us-east-1,326.31,Spot,Data Engineering,4.3,data-engineering-rds
2024-07-05,EKS (Kubernetes),ap-south-1,393.33,Reserved,Data Engineering,1.8,data-engineering-eks
2024-01-30,RDS (Database),ap-southeast-1,71.95,Spot,Data Engineering,2.9,data-engineering-rds
2024-04-30,SQS (Queue),ap-south-1,12.79,Spot,Logistics,1.4,logistics-sqs
2024-05-31,EC2 (Compute),eu-west-1,214.52,On-Demand,Procurement,17.4,procurement-ec2
2024-07-10,SNS (Notifications),us-east-1,16.85,On-Demand,Warehouse Ops,17.8,warehouse-ops-sns
2024-05-18,S3 (Storage),us-west-2,55.66,Reserved,Logistics,10.2,logistics-s3
2024-09-18,API Gateway,ap-southeast-1,13.23,Reserved,Warehouse Ops,2.1,warehouse-ops-api gateway
2024-11-28,DynamoDB (NoSQL),ap-south-1,214.85,On-Demand,Logistics,8.9,logistics-dynamodb
2024-07-28,DynamoDB (NoSQL),eu-west-1,76.05,Reserved,Procurement,23.6,procurement-dynamodb
2024-07-05,CloudFront (CDN),us-east-1,72.93,Reserved,Platform / DevOps,7.3,platform-/-devops-cloudfront
2024-05-04,SNS (Notifications),ap-southeast-1,9.24,Spot,Fleet Management,13.7,fleet-management-sns
2024-05-28,RDS (Database),us-west-2,88.4,Spot,Logistics,6.1,logistics-rds
2024-07-17,SNS (Notifications),us-east-1,15.37,Spot,Logistics,16.0,logistics-sns
2024-12-01,SageMaker (ML),ap-southeast-1,454.98,On-Demand,Logistics,18.8,logistics-sagemaker
2024-01-30,Redshift (Data Warehouse),eu-west-1,90.71,Savings Plan,Logistics,11.5,logistics-redshift
2024-12-02,RDS (Database),ap-southeast-1,122.57,Reserved,Fleet Management,1.9,fleet-management-rds
2024-04-23,Redshift (Data Warehouse),us-west-2,241.68,Reserved,Warehouse Ops,20.4,warehouse-ops-redshift
2024-02-08,API Gateway,us-east-1,28.96,On-Demand,Fleet Management,2.3,fleet-management-api gateway
2024-06-16,SageMaker (ML),eu-west-1,313.79,Spot,Procurement,13.8,procurement-sagemaker
2024-05-06,ElastiCache (Caching),us-west-2,117.19,Savings Plan,Data Engineering,12.9,data-engineering-elasticache
2024-02-08,CloudWatch (Monitoring),us-east-1,16.88,On-Demand,Warehouse Ops,21.4,warehouse-ops-cloudwatch
2024-05-31,Lambda (Serverless),eu-west-1,73.14,Savings Plan,Procurement,5.3,procurement-lambda
2024-03-30,DynamoDB (NoSQL),eu-west-1,57.73,Reserved,Logistics,9.0,logistics-dynamodb
2024-07-26,SQS (Queue),us-east-1,3.35,Savings Plan,Fleet Management,17.8,fleet-management-sqs
2024-03-12,SageMaker (ML),ap-southeast-1,387.24,Spot,Platform / DevOps,18.8,platform-/-devops-sagemaker
2024-05-25,S3 (Storage),ap-southeast-1,63.38,Spot,Data Engineering,17.6,data-engineering-s3
2024-09-20,API Gateway,eu-west-1,19.33,Spot,Logistics,17.6,logistics-api gateway
2024-12-25,Route 53 (DNS),us-west-2,3.74,Spot,Data Engineering,2.8,data-engineering-route 53
2024-08-15,Route 53 (DNS),us-east-1,6.61,Savings Plan,Warehouse Ops,12.3,warehouse-ops-route 53
2024-12-27,ElastiCache (Caching),ap-south-1,132.98,Reserved,Procurement,15.2,procurement-elasticache
2024-07-30,Lambda (Serverless),ap-south-1,36.43,Reserved,Platform / DevOps,6.7,platform-/-devops-lambda
2024-11-25,CloudWatch (Monitoring),us-west-2,11.9,Reserved,Procurement,7.6,procurement-cloudwatch
2024-02-19,DynamoDB (NoSQL),eu-west-1,76.25,Reserved,Fleet Management,3.8,fleet-management-dynamodb
2024-06-14,EKS (Kubernetes),us-west-2,391.1,Reserved,Logistics,7.2,logistics-eks
2024-09-22,EKS (Kubernetes),us-east-1,296.95,Spot,Warehouse Ops,11.0,warehouse-ops-eks
2024-09-30,SageMaker (ML),eu-west-1,238.68,On-Demand,Procurement,3.4,procurement-sagemaker
2024-02-15,SQS (Queue),us-west-2,16.55,Reserved,Fleet Management,6.0,fleet-management-sqs
2024-01-13,CloudFront (CDN),ap-southeast-1,21.03,Savings Plan,Fleet Management,10.9,fleet-management-cloudfront
2024-04-15,EKS (Kubernetes),eu-west-1,347.45,Savings Plan,Warehouse Ops,13.3,warehouse-ops-eks
2024-07-24,DynamoDB (NoSQL),eu-west-1,116.22,Savings Plan,Procurement,17.9,procurement-dynamodb
2024-01-15,DynamoDB (NoSQL),ap-south-1,160.44,Savings Plan,Procurement,6.5,procurement-dynamodb
2024-08-15,SNS (Notifications),eu-west-1,4.19,Savings Plan,Data Engineering,7.5,data-engineering-sns
2024-01-21,ElastiCache (Caching),ap-southeast-1,141.14,On-Demand,Data Engineering,7.2,data-engineering-elasticache
2024-11-12,SQS (Queue),ap-south-1,23.68,Reserved,Data Engineering,13.0,data-engineering-sqs
2024-02-20,Route 53 (DNS),us-west-2,5.01,Spot,Procurement,15.1,procurement-route 53
2024-05-08,RDS (Database),us-east-1,173.08,On-Demand,Procurement,10.5,procurement-rds
2024-01-20,EKS (Kubernetes),us-west-2,136.49,Savings Plan,Logistics,10.9,logistics-eks
2024-10-18,Lambda (Serverless),ap-south-1,13.5,On-Demand,Procurement,10.7,procurement-lambda
2024-02-17,EKS (Kubernetes),ap-southeast-1,248.75,Spot,Warehouse Ops,21.1,warehouse-ops-eks
2024-07-04,Lambda (Serverless),eu-west-1,38.57,On-Demand,Procurement,21.1,procurement-lambda
2024-09-08,CloudFront (CDN),us-east-1,57.06,Reserved,Fleet Management,13.5,fleet-management-cloudfront
2024-04-15,Route 53 (DNS),us-west-2,1.98,Spot,Logistics,17.0,logistics-route 53
2024-07-06,EKS (Kubernetes),us-west-2,375.6,On-Demand,Procurement,21.0,procurement-eks
2024-05-29,Redshift (Data Warehouse),eu-west-1,94.65,Spot,Procurement,17.6,procurement-redshift
2024-12-10,S3 (Storage),eu-west-1,79.34,Reserved,Logistics,23.6,logistics-s3
2024-05-05,SNS (Notifications),us-west-2,18.03,On-Demand,Logistics,6.9,logistics-sns
2024-08-01,ElastiCache (Caching),ap-southeast-1,128.59,Reserved,Procurement,17.6,procurement-elasticache
2024-11-12,Redshift (Data Warehouse),us-west-2,159.44,On-Demand,Platform / DevOps,12.0,platform-/-devops-redshift
2024-11-09,SQS (Queue),eu-west-1,22.75,On-Demand,Logistics,10.9,logistics-sqs
2024-12-05,CloudFront (CDN),eu-west-1,23.68,Savings Plan,Procurement,16.1,procurement-cloudfront
2024-05-01,CloudWatch (Monitoring),us-east-1,35.24,Reserved,Fleet Management,11.0,fleet-management-cloudwatch
2024-06-25,DynamoDB (NoSQL),us-west-2,101.64,Spot,Fleet Management,21.2,fleet-management-dynamodb
2024-11-03,Lambda (Serverless),us-east-1,7.08,Savings Plan,Fleet Management,21.4,fleet-management-lambda
2024-02-08,SageMaker (ML),ap-southeast-1,314.46,Spot,Fleet Management,23.7,fleet-management-sagemaker
2024-03-04,CloudWatch (Monitoring),ap-south-1,37.59,Reserved,Platform / DevOps,18.4,platform-/-devops-cloudwatch
2024-05-19,SQS (Queue),us-west-2,16.98,Spot,Warehouse Ops,8.3,warehouse-ops-sqs
2024-01-02,EKS (Kubernetes),us-east-1,562.3,Spot,Fleet Management,17.6,fleet-management-eks
2024-08-08,ElastiCache (Caching),us-east-1,29.4,Reserved,Platform / DevOps,1.5,platform-/-devops-elasticache
2024-11-24,Lambda (Serverless),ap-south-1,17.5,Spot,Platform / DevOps,8.0,platform-/-devops-lambda
2024-08-17,ElastiCache (Caching),us-east-1,95.7,Spot,Procurement,21.3,procurement-elasticache
2024-07-02,RDS (Database),eu-west-1,293.06,On-Demand,Procurement,6.1,procurement-rds
2024-12-19,CloudFront (CDN),us-west-2,46.49,On-Demand,Procurement,6.2,procurement-cloudfront
2024-08-01,SNS (Notifications),ap-south-1,10.95,Spot,Data Engineering,9.8,data-engineering-sns
2024-04-21,ElastiCache (Caching),us-east-1,118.95,On-Demand,Platform / DevOps,19.2,platform-/-devops-elasticache
2024-07-11,CloudFront (CDN),us-east-1,23.09,Reserved,Data Engineering,7.2,data-engineering-cloudfront
2024-10-09,RDS (Database),us-east-1,195.3,Savings Plan,Fleet Management,2.2,fleet-management-rds
2024-09-26,CloudFront (CDN),us-west-2,55.61,Spot,Fleet Management,19.3,fleet-management-cloudfront
2024-02-12,SageMaker (ML),us-east-1,147.42,Reserved,Warehouse Ops,19.3,warehouse-ops-sagemaker
2024-09-30,SNS (Notifications),us-east-1,14.6,Savings Plan,Fleet Management,22.6,fleet-management-sns
2024-03-10,EKS (Kubernetes),ap-southeast-1,200.63,On-Demand,Data Engineering,6.1,data-engineering-eks
2024-06-09,Redshift (Data Warehouse),us-west-2,200.69,Reserved,Procurement,18.8,procurement-redshift
2024-01-05,Route 53 (DNS),us-west-2,2.42,Spot,Procurement,17.2,procurement-route 53
2024-12-31,RDS (Database),ap-south-1,220.88,Reserved,Logistics,22.8,logistics-rds
2024-08-05,EC2 (Compute),ap-south-1,287.66,On-Demand,Procurement,8.0,procurement-ec2
2024-12-07,CloudFront (CDN),us-east-1,106.84,Reserved,Platform / DevOps,4.5,platform-/-devops-cloudfront
2024-09-02,CloudFront (CDN),eu-west-1,58.92,On-Demand,Data Engineering,18.4,data-engineering-cloudfront
2024-04-15,CloudFront (CDN),us-west-2,87.8,Savings Plan,Procurement,2.1,procurement-cloudfront
2024-05-11,API Gateway,us-east-1,22.36,Spot,Procurement,23.1,procurement-api gateway
2024-06-10,CloudFront (CDN),ap-south-1,61.53,Spot,Platform / DevOps,20.7,platform-/-devops-cloudfront
2024-03-31,DynamoDB (NoSQL),us-west-2,38.73,Reserved,Data Engineering,23.5,data-engineering-dynamodb
2024-05-13,EKS (Kubernetes),us-west-2,196.06,Spot,Fleet Management,16.2,fleet-management-eks
2024-07-17,SNS (Notifications),us-west-2,12.44,On-Demand,Fleet Management,10.6,fleet-management-sns
2024-08-01,CloudFront (CDN),ap-south-1,75.44,Spot,Procurement,18.4,procurement-cloudfront
2024-06-03,DynamoDB (NoSQL),us-east-1,45.42,On-Demand,Logistics,12.8,logistics-dynamodb
2024-05-19,CloudWatch (Monitoring),ap-south-1,10.19,On-Demand,Warehouse Ops,22.6,warehouse-ops-cloudwatch
2024-01-09,CloudFront (CDN),ap-south-1,50.27,Spot,Logistics,2.2,logistics-cloudfront
2024-05-10,EC2 (Compute),ap-southeast-1,287.24,Spot,Platform / DevOps,22.6,platform-/-devops-ec2
2024-07-22,SageMaker (ML),us-east-1,276.03,Savings Plan,Procurement,11.5,procurement-sagemaker
2024-05-17,Redshift (Data Warehouse),ap-south-1,88.99,Savings Plan,Logistics,17.4,logistics-redshift
2024-06-25,Route 53 (DNS),us-west-2,6.46,Spot,Warehouse Ops,3.8,warehouse-ops-route 53
2024-03-18,RDS (Database),ap-south-1,136.26,Savings Plan,Warehouse Ops,6.5,warehouse-ops-rds
2024-03-06,API Gateway,ap-southeast-1,12.19,Savings Plan,Fleet Management,5.4,fleet-management-api gateway
2024-05-28,S3 (Storage),us-east-1,92.83,Reserved,Data Engineering,19.9,data-engineering-s3
2024-10-27,SageMaker (ML),us-east-1,120.76,Reserved,Fleet Management,13.4,fleet-management-sagemaker
2024-02-19,RDS (Database),us-east-1,221.23,Savings Plan,Fleet Management,3.2,fleet-management-rds
2024-01-08,CloudWatch (Monitoring),ap-southeast-1,8.25,Savings Plan,Fleet Management,18.3,fleet-management-cloudwatch
2024-05-08,S3 (Storage),us-west-2,87.86,Spot,Fleet Management,23.1,fleet-management-s3
2024-10-01,DynamoDB (NoSQL),ap-south-1,128.22,On-Demand,Platform / DevOps,22.2,platform-/-devops-dynamodb
2024-07-25,S3 (Storage),us-east-1,111.33,Reserved,Data Engineering,3.8,data-engineering-s3
2024-01-08,SageMaker (ML),us-west-2,195.2,Reserved,Logistics,11.7,logistics-sagemaker
2024-11-12,RDS (Database),eu-west-1,349.14,On-Demand,Warehouse Ops,8.7,warehouse-ops-rds
2024-06-30,SQS (Queue),eu-west-1,22.74,On-Demand,Procurement,14.6,procurement-sqs
2024-11-20,S3 (Storage),us-east-1,47.12,On-Demand,Warehouse Ops,21.7,warehouse-ops-s3
2024-10-17,S3 (Storage),ap-south-1,71.7,Spot,Fleet Management,19.1,fleet-management-s3
2024-09-02,S3 (Storage),us-west-2,86.06,Savings Plan,Procurement,17.6,procurement-s3
2024-03-09,RDS (Database),ap-south-1,410.12,On-Demand,Fleet Management,23.2,fleet-management-rds
2024-10-05,ElastiCache (Caching),us-west-2,63.11,On-Demand,Platform / DevOps,9.7,platform-/-devops-elasticache
2024-09-20,SNS (Notifications),us-east-1,7.54,Savings Plan,Fleet Management,20.9,fleet-management-sns
2024-02-17,CloudWatch (Monitoring),us-east-1,21.52,Savings Plan,Warehouse Ops,17.6,warehouse-ops-cloudwatch
2024-02-29,S3 (Storage),us-west-2,56.02,On-Demand,Procurement,10.8,procurement-s3
2024-04-22,API Gateway,eu-west-1,24.98,Reserved,Data Engineering,5.6,data-engineering-api gateway
2024-01-05,CloudWatch (Monitoring),us-west-2,47.55,Savings Plan,Logistics,14.3,logistics-cloudwatch
2024-10-21,S3 (Storage),ap-southeast-1,102.67,Savings Plan,Warehouse Ops,17.4,warehouse-ops-s3
2024-10-04,EC2 (Compute),us-west-2,316.49,Spot,Procurement,21.2,procurement-ec2
2024-11-23,DynamoDB (NoSQL),us-west-2,218.6,Savings Plan,Procurement,9.0,procurement-dynamodb
2024-11-27,CloudFront (CDN),ap-south-1,39.14,Spot,Platform / DevOps,19.7,platform-/-devops-cloudfront
2024-07-07,EC2 (Compute),eu-west-1,336.8,Reserved,Warehouse Ops,8.6,warehouse-ops-ec2
2024-11-07,Redshift (Data Warehouse),us-west-2,293.17,Savings Plan,Fleet Management,1.1,fleet-management-redshift
2024-06-19,EKS (Kubernetes),ap-south-1,223.73,Savings Plan,Procurement,13.0,procurement-eks
